Records,Features,Language,Model,Time
2000,4,Python,RF,0.018158002333207565
2000,4,R,RF,0.01445651
2000,4,Julia,RF,0.01397294
2000,8,Python,RF,0.018316225572065872
2000,8,R,RF,0.01607099
2000,8,Julia,RF,0.021124382
2000,16,Python,RF,0.029399525035511364
2000,16,R,RF,0.02617788
2000,16,Julia,RF,0.02801885
2000,32,Python,RF,0.030854333530772816
2000,32,R,RF,0.04083569
2000,32,Julia,RF,0.034828547
2000,64,Python,RF,0.05098889090798118
2000,64,R,RF,0.07741306
2000,64,Julia,RF,0.04573149
2000,128,Python,RF,0.07024171135642311
2000,128,R,RF,0.1747477
2000,128,Julia,RF,0.061243396
5000,4,Python,RF,0.03904117237437855
5000,4,R,RF,0.03075142
5000,4,Julia,RF,0.045158777
5000,8,Python,RF,0.03717056187716397
5000,8,R,RF,0.04053118
5000,8,Julia,RF,0.07142625
5000,16,Python,RF,0.08159429376775568
5000,16,R,RF,0.07015271
5000,16,Julia,RF,0.08208724
5000,32,Python,RF,0.10506003553217108
5000,32,R,RF,0.1352268
5000,32,Julia,RF,0.11239537
5000,64,Python,RF,0.1507506804032759
5000,64,R,RF,0.2727355
5000,64,Julia,RF,0.15954372
5000,128,Python,RF,0.25205362926829944
5000,128,R,RF,0.6210494
5000,128,Julia,RF,0.20243478
10000,4,Python,RF,0.10589799014004794
10000,4,R,RF,0.0561528
10000,4,Julia,RF,0.12718682
10000,8,Python,RF,0.10000558332963423
10000,8,R,RF,0.07120123
10000,8,Julia,RF,0.16251448
10000,16,Python,RF,0.1599928465756503
10000,16,R,RF,0.1679756
10000,16,Julia,RF,0.19930568
10000,32,Python,RF,0.21482712572271173
10000,32,R,RF,0.319125
10000,32,Julia,RF,0.28813908
10000,64,Python,RF,0.3426052657040683
10000,64,R,RF,0.630902
10000,64,Julia,RF,0.38529107
10000,128,Python,RF,0.5341534397818826
10000,128,R,RF,1.617072
10000,128,Julia,RF,0.53278196
25000,4,Python,RF,0.31432260166515
25000,4,R,RF,0.1418951
25000,4,Julia,RF,0.36976403
25000,8,Python,RF,0.27610804817893286
25000,8,R,RF,0.2077196
25000,8,Julia,RF,0.5232293
25000,16,Python,RF,0.5301592133261941
25000,16,R,RF,0.4983562
25000,16,Julia,RF,0.65822285
25000,32,Python,RF,0.7046399766748602
25000,32,R,RF,1.050565
25000,32,Julia,RF,0.97718966
25000,64,Python,RF,1.30398475040089
25000,64,R,RF,2.57406
25000,64,Julia,RF,1.2338512
25000,128,Python,RF,1.7951182452115146
25000,128,R,RF,8.131274
25000,128,Julia,RF,1.7554327
50000,4,Python,RF,0.699370102448897
50000,4,R,RF,0.3026071
50000,4,Julia,RF,0.802652
50000,8,Python,RF,0.6002450856295499
50000,8,R,RF,0.4531775
50000,8,Julia,RF,1.282842
50000,16,Python,RF,1.4121610901572488
50000,16,R,RF,1.323353
50000,16,Julia,RF,1.6111143
50000,32,Python,RF,1.7619491707194934
50000,32,R,RF,2.976388
50000,32,Julia,RF,2.5218496
50000,64,Python,RF,3.061479698527943
50000,64,R,RF,9.295484
50000,64,Julia,RF,3.199162
50000,128,Python,RF,5.227021845904264
50000,128,R,RF,25.85454
50000,128,Julia,RF,4.242043
100000,4,Python,RF,2.042524059613546
100000,4,R,RF,0.6399246
100000,4,Julia,RF,2.2683988
100000,8,Python,RF,1.7009170850118
100000,8,R,RF,1.027355
100000,8,Julia,RF,3.0108678
100000,16,Python,RF,3.2241894404093423
100000,16,R,RF,3.288386
100000,16,Julia,RF,3.9795227
100000,32,Python,RF,4.28694208463033
100000,32,R,RF,8.106433
100000,32,Julia,RF,5.989256
100000,64,Python,RF,7.782310565312703
100000,64,R,RF,25.21118
100000,64,Julia,RF,7.4103155
100000,128,Python,RF,11.42285442352295
100000,128,R,RF,128.0277
100000,128,Julia,RF,10.278692
500000,4,Python,RF,18.077710390090942
500000,4,R,RF,6.415562
500000,4,Julia,RF,21.413542
500000,8,Python,RF,13.321838617324829
500000,8,R,RF,10.2951
500000,8,Julia,RF,28.0308
500000,16,Python,RF,28.02855348587036
500000,16,R,RF,40.32304
500000,16,Julia,RF,34.245445
500000,32,Python,RF,35.89445924758911
500000,32,R,RF,158.6418
500000,32,Julia,RF,46.52629
500000,64,Python,RF,65.67748308181763
500000,64,R,RF,405.6635
500000,64,Julia,RF,61.179306
500000,128,Python,RF,94.96307754516602
500000,128,R,RF,904.0666
500000,128,Julia,RF,82.658554
2000,4,Python,NB,0.0021147077733820133
2000,4,R,NB,0.002289629
2000,4,Julia,NB,0.0022245613
2000,8,Python,NB,0.0016672827980735085
2000,8,R,NB,0.002401209
2000,8,Julia,NB,0.0025487968
2000,16,Python,NB,0.0026325312527743254
2000,16,R,NB,0.00436244
2000,16,Julia,NB,0.0026160532
2000,32,Python,NB,0.002520886334505948
2000,32,R,NB,0.008304882
