N,Pi,Erro Exp,Erro Real,Exp-Real,Time
10,"2.5","0.790569","0.641593","0.148977",0
50,"3.846154","0.543928","0.704561","0.160633",0
100,"3.448276","0.344828","0.306683","0.038144",0
500,"3.597122","0.160868","0.45553","0.294661",0
1000,"3.278689","0.103681","0.137096","0.033415",0
5000,"3.037667","0.042959","0.103926","0.060967","0.001"
7500,"3.211991","0.037089","0.070399","0.03331",0
10000,"3.142678","0.031427","0.001085","0.030342",0
25000,"3.096742","0.019586","0.044851","0.025265","0.001"
50000,"3.139717","0.014041","0.001875","0.012166","0.002"
100000,"3.128226","0.009892","0.013367","0.003474","0.004"
250000,"3.133775","0.006268","0.007818","0.001551","0.011"
500000,"3.129381","0.004426","0.012212","0.007786","0.02"
750000,"3.147914","0.003635","0.006321","0.002687","0.031"
1000000,"3.148535","0.003149","0.006943","0.003794","0.039"
2500000,"3.143322","0.001988","0.001729","0.000259","0.091"
5000000,"3.141219","0.001405","0.000374","0.001031","0.181"
10000000,"3.144165","0.000994","0.002572","0.001578","0.36"
30000000,"3.140919","0.000573","0.000674",1E-04,"1.08"
50000000,"3.140636","0.000444","0.000956","0.000512","1.802"
100000000,"3.141044","0.000314","0.000549","0.000235","3.608"
200000000,"3.141273","0.000222","0.000319","9.7E-05","7.287"
300000000,"3.141748","0.000181","0.000156","2.6E-05","10.89"
400000000,"3.141648","0.000157","5.5E-05","0.000102","14.34"
500000000,"3.141291","0.00014","0.000302","0.000161","17.938"
600000000,"3.141667","0.000128","7.4E-05","5.4E-05","21.589"
750000000,"3.141471","0.000115","0.000122",7E-06,"26.894"
900000000,"3.14144","0.000105","0.000152","4.8E-05","32.266"
1000000000,"3.141445","9.9E-05","0.000148","4.8E-05",35.870
2000000000,"3.141502",7E-05,"9.1E-05","2.1E-05","71.747"
