N,Pi,ErroExp,ErroReal,ExpReal,Time
10,2.5,0.7905694,0.6415927,0.14897676,0.06526898
50,3.125,0.44194174,0.016592653,0.4253491,4234e-9
100,3.4482758,0.3448276,0.3066832,0.038144376,2011e-9
500,3.2051282,0.1433377,0.06353555,0.07980214,9759e-9
1000,2.9411764,0.09300817,0.20041618,0.10740802,17014e-9
5000,3.2446463,0.04588623,0.10305368,0.05716745,84438e-9
7500,3.1030202,0.03583059,0.038572382,0.0027417887,127816e-9
10000,3.1367629,0.03136763,0.004829793,0.026537836,167661e-9
25000,3.1458411,0.019896047,0.0042485446,0.015647503,417889e-9
50000,3.1885722,0.014259729,0.046979506,0.032719776,850054e-9
100000,3.1466331,0.009950528,0.005040449,0.0049100784,0.001702179
250000,3.1473858,0.0062947716,0.0057931277,0.0005016438,0.004216225
500000,3.1418679,0.004443272,0.0002752497,0.0041680224,0.008415077
750000,3.1383247,0.0036238253,0.0032678496,0.00035597582,0.013781178
1000000,3.1402497,0.0031402498,0.0013428153,0.0017974345,0.016917214
2500000,3.1425078,0.0019874964,0.0009150424,0.0010724539,0.042112708
5000000,3.142731,0.0014054719,0.0011382413,0.0002672307,0.08477633
10000000,3.1413932,0.0009933957,0.0001994897,0.00079390605,0.16880624
30000000,3.1423378,0.0005737098,0.0007451955,0.00017148572,0.52308005
50000000,3.142621,0.00044443374,0.0010284156,0.00058398186,0.8538409
100000000,3.1416082,0.00031416083,15556387e-12,0.00029860443,1.7059431
200000000,3.142277,0.00022219254,0.0006843217,0.00046212916,3.4299421
300000000,3.141318,0.00018136408,0.00027452028,9315618e-11,5.0989723
400000000,3.1416214,0.00015708107,2875717e-11,0.0001283239,6.801166
500000000,3.1412299,0.00014048007,0.00036270375,0.00022222367,8.480836
600000000,3.1411052,0.00012823509,0.00048745467,0.0003592196,10.107819
750000000,3.141815,0.00011472286,0.00022223497,0.00010751211,12.583014
900000000,3.141329,0.00010471097,0.00026359977,0.00015888881,15.110213
1000000000,3.1416607,9934803e-11,6795551e-11,31392523e-12,16.789614
2000000000,3.1415737,7024773e-11,18952647e-12,51295076e-12,33.561176
